Date,BVR_mean_RDOsat_percent_13,BVR_mean_EXOChla_ugL_1.5,BVR_mean_EXOfDOM_QSU_1.5,BVR_mean_EXOTemp_C_1.5,BVR_mean_schmidt_stability,mean_ShortwaveRadiationUp_Average_W_m2,mean_AirTemp_C_Average,mean_WindSpeed_Average_m_s,sum_Rain_Total_mm
2020-07-01,0.0,5.44444444444444,14.0671527777778,24.1313611111111,73.0466335742095,291.992367049808,25.5762758055556,1.98540347222222,0.0
2020-07-02,0.0,5.60957142857143,14.1043571428571,24.8036142857143,78.7739874350001,279.851591374269,24.7425872611111,2.00553680555556,0.0
2020-07-03,0.0,6.26055555555556,15.0007638888889,24.8635,83.2017637375152,322.149697122304,25.1352920888889,2.09571736111111,0.0
2020-07-04,0.0,6.51465277777778,15.4622222222222,25.1909652777778,87.5278306065868,269.920789662599,26.1057367333333,1.87401180555556,0.0
2020-07-05,0.0,6.97215277777778,15.7509722222222,25.5074583333333,92.087628458713,298.321974982628,26.6078732555556,1.27159305555556,0.0
2020-07-06,0.0,7.05847222222222,15.9142361111111,25.9257013888889,97.0389062498766,305.866118750001,26.6195558944444,1.52725763888889,0.0
2020-07-07,0.0,7.17770833333333,16.0045833333333,26.4691111111111,98.6990636416958,294.067471855455,25.7960925111111,1.43829583333333,0.0
2020-07-08,0.0,7.39833333333333,15.9571527777778,26.7461666666667,99.0011105982384,276.288050764951,26.4969183055556,1.20428611111111,0.0
2020-07-09,0.0,7.44666666666667,15.2359027777778,27.1248055555556,99.1068282658709,230.07207966457,26.4312614388889,1.20945347222222,0.0
2020-07-10,0.0,6.94673611111111,15.1509027777778,27.2369722222222,101.644445994951,251.833607638889,26.6136997444444,1.44369166666667,2.54
2020-07-11,0.0,4.4275,11.84875,28.0788958333333,104.988261318054,288.062834027778,25.8766210333333,2.08098888888889,0.0
2020-07-12,0.0,5.14215277777778,12.5738888888889,26.9946388888889,99.7822696028499,251.963922222222,25.8885344777778,1.89499236111111,0.0
2020-07-13,0.0,4.61777777777778,12.5364583333333,26.8535208333333,98.9868340849489,296.685453472222,24.9532347444444,2.26081319444444,6.858
2020-07-14,0.0,4.33555555555556,12.8790972222222,26.9827291666667,101.409446727902,288.562062499999,25.9559792444444,1.92215486111111,0.0
2020-07-15,0.0,3.96263888888889,13.3090277777778,27.0836736111111,101.52692900103,299.702371527778,26.5328756277778,1.40261805555556,0.0
2020-07-16,0.0,4.46,14.3224305555556,26.9148611111111,100.330511529368,173.302168055556,26.6930763888889,1.60912916666667,0.0
2020-07-17,0.0,3.403125,12.8956944444444,27.3191319444444,104.004375700285,223.360754166667,27.1722811388889,1.12468055555556,0.0
2020-07-18,0.0,2.71776223776224,12.5611888111888,27.6233076923077,107.050203064364,283.913460416667,27.7928567277778,1.6197875,0.0
2020-07-19,0.0,2.00819444444444,12.1581944444444,28.4156041666667,113.737426365113,275.086031249999,28.4881239444444,1.70444791666667,0.0
2020-07-20,0.0,2.00701388888889,11.9986111111111,28.5672638888889,113.447376379387,221.053468055555,27.6111097222222,1.92327708333333,2.794
2020-07-21,0.0,1.98569444444444,12.2022222222222,28.4180694444444,111.919828247571,186.878465972222,26.2613319555556,1.68447916666667,11.43
2020-07-22,0.0,1.85902777777778,12.2252777777778,28.2161944444444,110.550893965032,252.405153472222,26.5239162333333,1.99251319444444,5.588
2020-07-23,0.0,1.89335664335664,11.9745454545455,28.096034965035,108.486192548326,175.985804861111,25.9294261888889,1.68116736111111,5.08
2020-07-24,0.0,2.27666666666667,12.3753472222222,27.5861388888889,105.039653442891,244.101047222222,26.3991086777778,1.57958263888889,4.318
2020-07-25,0.0,1.955,12.2871527777778,27.6437638888889,106.863586473479,259.878303472222,26.7228202944444,1.75140347222222,3.048
2020-07-26,0.0,1.77458333333333,12.1091666666667,27.9674513888889,109.033157175618,213.610171527778,26.9405580611111,1.62019166666667,1.778
2020-07-27,0.0,1.52375,11.8589583333333,28.2051805555556,114.321410446777,253.550931249999,27.2536970611111,2.01670138888889,1.016
2020-07-28,0.0,1.53916666666667,11.7349305555556,28.3393263888889,112.31444748772,226.486651388889,26.4813392777778,2.17633333333333,2.286
2020-07-29,0.0,1.74347222222222,11.8357638888889,28.3021666666667,110.652233835927,215.970130555555,26.2739654611111,1.41670486111111,1.27
2020-07-30,0.0,1.82652777777778,11.77875,28.4361875,110.432740874684,155.039703472222,25.6111966166667,1.36196597222222,7.36599999999999
2020-07-31,0.0,1.9825,11.5365972222222,28.3774027777778,108.781583970343,158.673495138889,24.7422937062937,1.44629722222222,
2020-08-01,0.0,4.12736111111111,12.4601388888889,27.7921736111111,104.202430333594,186.806271527778,24.1629513888889,1.21953194444444,10.922
2020-08-02,0.0,2.69229166666667,12.3650694444444,27.7899375,104.98287945402,208.623624305556,24.6924166666667,1.22878125,0.0
2020-08-03,0.0,2.98694444444444,12.41875,27.3620277777778,99.5057901356585,90.399061111111,22.0038402777778,1.29395763888889,6.35
2020-08-04,0.0,2.65777777777778,12.6964583333333,26.9267708333333,78.8327023461331,281.40756875,23.7070763888889,2.24439583333333,0.0
2020-08-05,0.0,2.26895833333333,12.4417361111111,26.9632916666667,79.3845672123353,208.075078472223,23.2035763888889,1.66735555555556,10.922
